base_bid,Clicks,CTR,Spend,aCPM,aCPC
1,5,0.00398406374501992,8.793,1.7585999999999997,0.0017585999999999997
2,8,0.0026791694574681848,34.125,4.265625,0.004265625
3,13,0.0021670278379729954,87.204,6.707999999999999,0.0067079999999999996
4,15,0.0015537600994406464,155.542,10.369466666666668,0.010369466666666667
5,17,0.001243326263438894,245.387,14.434529411764705,0.014434529411764705
6,21,0.001182033096926714,352.317,16.777,0.016777
7,23,0.0010437465964784898,473.238,20.575565217391304,0.020575565217391303
8,26,0.0009802443070426783,613.295,23.588269230769228,0.02358826923076923
9,32,0.0010231814548361312,772.157,24.12990625,0.024129906250000003
10,37,0.0010348781920398288,933.17,25.22081081081081,0.02522081081081081
11,41,0.0010151027482050011,1108.717,27.041878048780493,0.027041878048780492
12,44,0.0009732360097323601,1298.179,29.504068181818187,0.029504068181818187
13,48,0.0009612881260889592,1495.149,31.1489375,0.031148937499999998
14,53,0.0009644605390060597,1716.233,32.381754716981135,0.03238175471698113
15,58,0.0009673760757889119,1945.953,33.55091379310345,0.033550913793103446
16,59,0.000908419042926649,2185.606,37.04416949152543,0.03704416949152543
17,61,0.0008732749241252935,2430.306,39.841081967213114,0.039841081967213116
18,63,0.0008409979842746726,2694.418,42.76853968253968,0.042768539682539686
19,69,0.0008619720421241989,2965.486,42.97805797101449,0.04297805797101449
20,70,0.0008233453698585022,3235.278,46.218257142857134,0.046218257142857135
21,70,0.0007782533770637612,3510.757,50.15367142857143,0.050153671428571425
22,76,0.0008013834408874267,3782.706,49.772447368421055,0.049772447368421055
23,83,0.0008324974924774323,4063.354,48.956072289156616,0.04895607228915662
24,88,0.000843348091924942,4338.999,49.30680681818181,0.04930680681818181
25,90,0.0008258774948382657,4618.691,51.31878888888889,0.05131878888888889
26,91,0.0008021720350487474,4889.902,53.735186813186814,0.053735186813186814
27,93,0.0007886100959051633,5165.253,55.540354838709675,0.05554035483870968
28,100,0.0008182904276385775,5434.835,54.348349999999996,0.05434835
29,103,0.0008150862171294721,5696.905,55.3097572815534,0.0553097572815534
30,108,0.000828983727356463,5949.971,55.09232407407407,0.05509232407407407
31,111,0.0008270312558208844,6207.01,55.91900900900902,0.055919009009009014
32,110,0.0008227067050596463,6250.0,56.81818181818181,0.056818181818181816
33,102,0.000771097453110471,6250.0,61.27450980392157,0.061274509803921566
34,100,0.000763743565460461,6250.0,62.5,0.0625
35,99,0.0007629469790382244,6250.0,63.131313131313135,0.06313131313131314
36,100,0.0007777622225333271,6250.0,62.5,0.0625
37,99,0.0007763488080301129,6250.0,63.131313131313135,0.06313131313131314
38,98,0.0007745443624235335,6250.0,63.775510204081634,0.06377551020408163
39,97,0.0007731671156881188,6250.0,64.43298969072164,0.06443298969072164
40,96,0.0007706634127544795,6250.0,65.10416666666667,0.06510416666666667
41,94,0.0007604132117750795,6250.0,66.48936170212765,0.06648936170212766
42,94,0.0007658589841776793,6250.0,66.48936170212765,0.06648936170212766
43,90,0.0007388252678241596,6250.0,69.44444444444444,0.06944444444444445
44,88,0.0007270263794912468,6250.0,71.02272727272728,0.07102272727272728
45,87,0.0007227894688743592,6250.0,71.83908045977012,0.07183908045977011
46,88,0.0007352142564728096,6250.0,71.02272727272728,0.07102272727272728
47,87,0.0007310125784578156,6250.0,71.83908045977012,0.07183908045977011
48,85,0.0007179175323907499,6250.0,73.52941176470588,0.07352941176470588
49,81,0.0006876703257519802,6250.0,77.1604938271605,0.07716049382716049
50,81,0.0006918937387887589,6250.0,77.1604938271605,0.07716049382716049
51,81,0.0006952491309385864,6250.0,77.1604938271605,0.07716049382716049
52,81,0.0006985950477373283,6250.0,77.1604938271605,0.07716049382716049
53,81,0.0007018881658189129,6250.0,77.1604938271605,0.07716049382716049
54,80,0.000696706320868096,6250.0,78.125,0.078125
55,79,0.0006915750402689264,6250.0,79.11392405063292,0.07911392405063292
56,79,0.0006946154116695389,6250.0,79.11392405063292,0.07911392405063292
57,77,0.000679905696196943,6250.0,81.16883116883116,0.08116883116883117
58,76,0.000673711084320261,6250.0,82.23684210526316,0.08223684210526316
59,73,0.0006496684910781827,6250.0,85.61643835616438,0.08561643835616438
60,74,0.0006614347771679866,6250.0,84.45945945945945,0.08445945945945946
61,73,0.0006553374089933837,6250.0,85.61643835616438,0.08561643835616438
62,73,0.0006577346896483372,6250.0,85.61643835616438,0.08561643835616438
63,74,0.0006694167028513533,6250.0,84.45945945945945,0.08445945945945946
64,73,0.0006629613484452194,6250.0,85.61643835616438,0.08561643835616438
65,72,0.0006563234945579844,6250.0,86.80555555555556,0.08680555555555555
66,73,0.0006678926614150175,6250.0,85.61643835616438,0.08561643835616438
67,74,0.0006799283318785317,6250.0,84.45945945945945,0.08445945945945946
68,73,0.000673245411786406,6250.0,85.61643835616438,0.08561643835616438
69,73,0.0006753443793770179,6250.0,85.61643835616438,0.08561643835616438
70,72,0.0006686726847208291,6250.0,86.80555555555556,0.08680555555555555
71,72,0.0006708845426337809,6250.0,86.80555555555556,0.08680555555555555
72,72,0.000672997831451432,6250.0,86.80555555555556,0.08680555555555555
73,72,0.0006754411474994606,6250.0,86.80555555555556,0.08680555555555555
74,72,0.0006773792947728898,6250.0,86.80555555555556,0.08680555555555555
75,70,0.0006606391211612148,6250.0,89.28571428571429,0.08928571428571429
76,70,0.0006623707194292257,6250.0,89.28571428571429,0.08928571428571429
77,70,0.0006644202932941009,6250.0,89.28571428571429,0.08928571428571429
78,70,0.0006664064508144439,6250.0,89.28571428571429,0.08928571428571429
79,70,0.0006681301899398683,6250.0,89.28571428571429,0.08928571428571429
80,70,0.0006703889213442256,6250.0,89.28571428571429,0.08928571428571429
81,71,0.0006820561591592457,6250.0,88.0281690140845,0.0880281690140845
82,70,0.000674315329114046,6250.0,89.28571428571429,0.08928571428571429
83,69,0.0006667890723901006,6250.0,90.57971014492753,0.09057971014492754
84,69,0.000668222624662257,6250.0,90.57971014492753,0.09057971014492754
85,69,0.0006698248747718712,6250.0,90.57971014492753,0.09057971014492754
86,68,0.0006616974485724851,6250.0,91.91176470588236,0.09191176470588236
87,68,0.0006632528651548403,6250.0,91.91176470588236,0.09191176470588236
88,68,0.0006645362416566497,6250.0,91.91176470588236,0.09191176470588236
89,69,0.0006760199082964299,6250.0,90.57971014492753,0.09057971014492754
90,69,0.0006775001227355295,6250.0,90.57971014492753,0.09057971014492754
91,68,0.0006693440428380187,6250.0,91.91176470588236,0.09191176470588236
92,67,0.0006610233035379546,6250.0,93.28358208955224,0.09328358208955224
93,67,0.0006624873929637906,6250.0,93.28358208955224,0.09328358208955224
94,67,0.000663727772549408,6250.0,93.28358208955224,0.09328358208955224
95,67,0.0006653690315404783,6250.0,93.28358208955224,0.09328358208955224
96,67,0.0006668590936688199,6250.0,93.28358208955224,0.09328358208955224
97,68,0.0006783854426465014,6250.0,91.91176470588236,0.09191176470588236
98,68,0.0006801224220359665,6250.0,91.91176470588236,0.09191176470588236
99,67,0.0006715984042020008,6250.0,93.28358208955224,0.09328358208955224
100,68,0.0006831012798103389,6250.0,91.91176470588236,0.09191176470588236
101,66,0.0006640841173215274,6250.0,94.6969696969697,0.0946969696969697
102,66,0.000665349409250373,6250.0,94.6969696969697,0.0946969696969697
103,66,0.0006668148477439431,6250.0,94.6969696969697,0.0946969696969697
104,66,0.0006681311561705962,6250.0,94.6969696969697,0.0946969696969697
105,65,0.0006594097775252858,6250.0,96.15384615384616,0.09615384615384616
106,64,0.0006504263341362034,6250.0,97.65625,0.09765625
107,63,0.0006416393375837696,6250.0,99.2063492063492,0.0992063492063492
108,64,0.0006529479580072845,6250.0,97.65625,0.09765625
109,64,0.0006539687729910896,6250.0,97.65625,0.09765625
110,63,0.0006450291798914713,6250.0,99.2063492063492,0.0992063492063492
111,63,0.000646293047733358,6250.0,99.2063492063492,0.0992063492063492
112,63,0.0006476817107021692,6250.0,99.2063492063492,0.0992063492063492
113,62,0.0006384446664126618,6250.0,100.80645161290322,0.10080645161290322
114,62,0.0006393598152043888,6250.0,100.80645161290322,0.10080645161290322
115,62,0.0006403635612476761,6250.0,100.80645161290322,0.10080645161290322
116,62,0.0006413770986996596,6250.0,100.80645161290322,0.10080645161290322
117,61,0.0006319475379945507,6250.0,102.45901639344262,0.10245901639344263
118,61,0.0006330953171703753,6250.0,102.45901639344262,0.10245901639344263
119,61,0.0006340824515082846,6250.0,102.45901639344262,0.10245901639344263
120,61,0.0006352710837099831,6250.0,102.45901639344262,0.10245901639344263
121,60,0.0006260107465178152,6250.0,104.16666666666667,0.10416666666666667
122,60,0.0006272607522947289,6250.0,104.16666666666667,0.10416666666666667
123,60,0.0006279894916425066,6250.0,104.16666666666667,0.10416666666666667
124,60,0.0006288319446627889,6250.0,104.16666666666667,0.10416666666666667
125,59,0.0006193120387962254,6250.0,105.9322033898305,0.1059322033898305
126,59,0.0006202886970783351,6250.0,105.9322033898305,0.1059322033898305
127,59,0.0006211703270093281,6250.0,105.9322033898305,0.1059322033898305
128,59,0.0006219626611568505,6250.0,105.9322033898305,0.1059322033898305
129,59,0.0006227898875811474,6250.0,105.9322033898305,0.1059322033898305
130,59,0.0006236325007663281,6250.0,105.9322033898305,0.1059322033898305
131,59,0.0006245038369939137,6250.0,105.9322033898305,0.1059322033898305
132,59,0.0006252848225356889,6250.0,105.9322033898305,0.1059322033898305
133,59,0.0006262604819021336,6250.0,105.9322033898305,0.1059322033898305
134,59,0.0006270325419261589,6250.0,105.9322033898305,0.1059322033898305
135,60,0.0006382707118846007,6250.0,104.16666666666667,0.10416666666666667
136,60,0.0006391137622496804,6250.0,104.16666666666667,0.10416666666666667
137,60,0.0006399522169011381,6250.0,104.16666666666667,0.10416666666666667
138,60,0.0006407655011854161,6250.0,104.16666666666667,0.10416666666666667
139,60,0.0006415053993371111,6250.0,104.16666666666667,0.10416666666666667
140,60,0.0006419309282321222,6250.0,104.16666666666667,0.10416666666666667
141,60,0.0006428318887472278,6250.0,104.16666666666667,0.10416666666666667
142,61,0.0006542958275233294,6250.0,102.45901639344262,0.10245901639344263
143,62,0.0006656074204491777,6250.0,100.80645161290322,0.10080645161290322
144,61,0.0006555544808760787,6250.0,102.45901639344262,0.10245901639344263
145,61,0.0006562103315475806,6250.0,102.45901639344262,0.10245901639344263
146,61,0.0006568745692625775,6250.0,102.45901639344262,0.10245901639344263
147,61,0.0006576606686576176,6250.0,102.45901639344262,0.10245901639344263
148,61,0.0006585055163330958,6250.0,102.45901639344262,0.10245901639344263
149,61,0.0006590675814380639,6250.0,102.45901639344262,0.10245901639344263
