c, lambda, clicks, CTR, spend, avgCPM, avgCPC
50,1.00E-06,65,0.06%,6250,52.58508266,96.15384615
50,1.10E-06,67,0.06%,6250,51.96122446,93.28358209
50,1.20E-06,69,0.06%,6250,51.13687501,90.57971014
50,1.30E-06,69,0.06%,6250,50.20523902,90.57971014
50,1.40E-06,69,0.06%,6250,49.73659499,90.57971014
50,1.50E-06,73,0.06%,6250,49.04384127,85.61643836
50,1.60E-06,72,0.06%,6250,48.50300331,86.80555556
50,1.70E-06,74,0.06%,6250,48.06028682,84.45945946
50,1.80E-06,74,0.06%,6250,47.46102501,84.45945946
50,1.90E-06,74,0.06%,6250,47.2118566,84.45945946
50,2.00E-06,74,0.06%,6250,46.77478502,84.45945946
50,2.10E-06,76,0.06%,6250,46.50539835,82.23684211
50,2.20E-06,75,0.06%,6250,46.13056796,83.33333333
50,2.30E-06,76,0.06%,6250,45.03498317,82.23684211
50,2.40E-06,78,0.06%,6250,44.83951042,80.12820513
50,2.50E-06,80,0.06%,6250,43.91851534,78.125
50,2.60E-06,80,0.06%,6250,43.65378705,78.125
50,2.70E-06,81,0.05%,6250,41.97758061,77.16049383
50,2.80E-06,82,0.06%,6250,41.74431109,76.2195122
50,2.90E-06,76,0.05%,6250,39.96010383,82.23684211
50,3.00E-06,76,0.05%,6250,39.62291663,82.23684211
50,3.10E-06,75,0.05%,6250,39.1957656,83.33333333
50,3.20E-06,82,0.05%,6250,38.30126241,76.2195122
50,3.30E-06,81,0.05%,6171.407,38.10474873,76.19020988
50,3.40E-06,77,0.05%,5934.267,37.43851691,77.0684026
50,3.50E-06,63,0.05%,4624.895,33.3203291,73.41103175
50,3.60E-06,62,0.05%,4560.21,33.11314589,73.55177419
50,3.70E-06,60,0.04%,4434.713,32.66871703,73.91188333
50,3.80E-06,59,0.05%,4186.765,31.87536163,70.96211864
50,3.90E-06,59,0.05%,4004.376,31.28516516,67.87077966
50,4.00E-06,58,0.05%,3539.32,29.60832539,61.02275862
50,4.10E-06,58,0.05%,3485.226,29.37747395,60.09010345
50,4.20E-06,56,0.05%,3403.869,29.05812703,60.783375
50,4.30E-06,56,0.05%,3226.739,28.35546944,57.62033929
50,4.40E-06,50,0.05%,3088.162,27.81175814,61.76324
50,4.50E-06,47,0.05%,2807.574,26.61207583,59.73561702
50,4.60E-06,47,0.05%,2697.504,26.05579167,57.39370213
50,4.70E-06,46,0.05%,2594.933,25.58071194,56.41158696
50,4.80E-06,46,0.05%,2523.004,25.24266133,54.84791304
50,4.90E-06,46,0.05%,2480.718,25.02666384,53.92865217
52,1.00E-06,65,0.06%,6250,53.0371175,96.15384615
52,1.10E-06,67,0.06%,6250,52.22652105,93.28358209
52,1.20E-06,69,0.06%,6250,51.42297661,90.57971014
52,1.30E-06,69,0.06%,6250,50.92396441,90.57971014
52,1.40E-06,69,0.06%,6250,50.07852312,90.57971014
52,1.50E-06,69,0.06%,6250,49.52927378,90.57971014
52,1.60E-06,73,0.06%,6250,48.92674297,85.61643836
52,1.70E-06,72,0.06%,6250,48.28827715,86.80555556
52,1.80E-06,74,0.06%,6250,47.91070977,84.45945946
52,1.90E-06,73,0.06%,6250,47.3861784,85.61643836
52,2.00E-06,74,0.06%,6250,47.12393217,84.45945946
52,2.10E-06,74,0.06%,6250,46.65397678,84.45945946
52,2.20E-06,75,0.06%,6250,46.38494308,83.33333333
52,2.30E-06,77,0.06%,6250,45.62410121,81.16883117
52,2.40E-06,76,0.06%,6250,45.040825,82.23684211
52,2.50E-06,78,0.06%,6250,44.71695953,80.12820513
52,2.60E-06,80,0.06%,6250,43.86672937,78.125
52,2.70E-06,80,0.06%,6250,43.61966444,78.125
52,2.80E-06,83,0.06%,6250,41.95334788,75.30120482
52,2.90E-06,82,0.06%,6250,41.74933034,76.2195122
52,3.00E-06,76,0.05%,6250,39.88360369,82.23684211
52,3.10E-06,76,0.05%,6250,39.54269662,82.23684211
52,3.20E-06,76,0.05%,6250,39.23464199,82.23684211
52,3.30E-06,82,0.05%,6250,38.31840448,76.2195122
52,3.40E-06,82,0.05%,6170.89,38.11591249,75.2547561
52,3.50E-06,78,0.05%,5944.859,37.49209462,76.21614103
52,3.60E-06,63,0.05%,4629.087,33.35317386,73.47757143
52,3.70E-06,63,0.05%,4557.737,33.1151468,72.34503175
52,3.80E-06,61,0.05%,4441.615,32.71835613,72.81336066
52,3.90E-06,60,0.05%,4213.228,31.99377321,70.22046667
52,4.00E-06,59,0.05%,4007.744,31.31392496,67.92786441
52,4.10E-06,58,0.05%,3553.589,29.7055765,61.26877586
52,4.20E-06,56,0.05%,3454.471,29.31492702,61.68698214
52,4.30E-06,56,0.05%,3313.695,28.7432559,59.173125
52,4.40E-06,56,0.05%,3232.935,28.39968552,57.73098214
52,4.50E-06,50,0.05%,3095.522,27.8599766,61.91044
52,4.60E-06,47,0.05%,2788.521,26.56088431,59.33023404
52,4.70E-06,47,0.05%,2662.78,25.9211884,56.65489362
52,4.80E-06,46,0.05%,2601.329,25.63340297,56.55063043
52,4.90E-06,46,0.05%,2530.552,25.30577306,55.012
54,1.00E-06,65,0.06%,6250,53.31081485,96.15384615
54,1.10E-06,66,0.06%,6250,52.53734354,94.6969697
54,1.20E-06,67,0.06%,6250,51.98715709,93.28358209
54,1.30E-06,70,0.06%,6250,51.2190125,89.28571429
54,1.40E-06,69,0.06%,6250,50.30788425,90.57971014
54,1.50E-06,70,0.06%,6250,49.87391873,89.28571429
54,1.60E-06,73,0.06%,6250,49.12904037,85.61643836
54,1.70E-06,73,0.06%,6250,48.76298071,85.61643836
54,1.80E-06,73,0.06%,6250,48.15916411,85.61643836
54,1.90E-06,75,0.06%,6250,47.71320167,83.33333333
54,2.00E-06,73,0.06%,6250,47.36929863,85.61643836
54,2.10E-06,74,0.06%,6250,47.10723869,84.45945946
54,2.20E-06,74,0.06%,6250,46.65188735,84.45945946
54,2.30E-06,75,0.06%,6250,46.36464121,83.33333333
54,2.40E-06,76,0.06%,6250,45.18605811,82.23684211
54,2.50E-06,77,0.06%,6250,44.94042697,81.16883117
54,2.60E-06,78,0.06%,6250,44.48778543,80.12820513
54,2.70E-06,80,0.06%,6250,43.83411767,78.125
54,2.80E-06,80,0.06%,6250,43.56584716,78.125
54,2.90E-06,83,0.06%,6250,41.93280017,75.30120482
54,3.00E-06,83,0.06%,6250,41.73594834,75.30120482
54,3.10E-06,76,0.05%,6250,39.83759011,82.23684211
54,3.20E-06,76,0.05%,6250,39.5411956,82.23684211
54,3.30E-06,76,0.05%,6250,39.24745363,82.23684211
54,3.40E-06,83,0.05%,6231.947,38.29741589,75.0836988
54,3.50E-06,82,0.05%,6136.91,38.06378584,74.84036585
54,3.60E-06,77,0.05%,5693.458,36.98107251,73.94101299
54,3.70E-06,64,0.05%,4617.182,33.34957529,72.14346875
54,3.80E-06,63,0.05%,4543.198,33.10620778,72.11425397
54,3.90E-06,61,0.05%,4318.282,32.38598149,70.7915082
54,4.00E-06,60,0.05%,4221.609,32.04597832,70.36015
54,4.10E-06,60,0.05%,4011.083,31.34809657,66.85138333
54,4.20E-06,58,0.05%,3555.405,29.727218,61.30008621
54,4.30E-06,56,0.05%,3479.263,29.44709825,62.12969643
54,4.40E-06,56,0.05%,3304.94,28.7611174,59.01678571
54,4.50E-06,56,0.05%,3242.179,28.46463627,57.89605357
54,4.60E-06,50,0.05%,3102.643,27.91301258,62.05286
54,4.70E-06,47,0.05%,2786.571,26.56837619,59.28874468
54,4.80E-06,47,0.05%,2658.427,25.95917311,56.5622766
54,4.90E-06,46,0.05%,2607.781,25.68660304,56.6908913
56,1.00E-06,63,0.05%,6250,53.80926553,99.20634921
56,1.10E-06,65,0.06%,6250,52.89930511,96.15384615
56,1.20E-06,67,0.06%,6250,52.2557774,93.28358209
56,1.30E-06,69,0.06%,6250,51.45557531,90.57971014
56,1.40E-06,70,0.06%,6250,50.94845647,89.28571429
56,1.50E-06,69,0.06%,6250,50.13677312,90.57971014
56,1.60E-06,70,0.06%,6250,49.68203498,89.28571429
56,1.70E-06,73,0.06%,6250,49.00730797,85.61643836
56,1.80E-06,72,0.06%,6250,48.53539589,86.80555556
56,1.90E-06,74,0.06%,6250,48.0093407,84.45945946
56,2.00E-06,74,0.06%,6250,47.54117065,84.45945946
56,2.10E-06,74,0.06%,6250,47.24969004,84.45945946
56,2.20E-06,74,0.06%,6250,46.81472604,84.45945946
56,2.30E-06,76,0.06%,6250,46.54765363,82.23684211
56,2.40E-06,75,0.06%,6250,46.24080733,83.33333333
56,2.50E-06,76,0.06%,6250,45.09542191,82.23684211
56,2.60E-06,77,0.06%,6250,44.95109321,81.16883117
56,2.70E-06,80,0.06%,6250,44.0001408,78.125
56,2.80E-06,80,0.06%,6250,43.79418834,78.125
56,2.90E-06,81,0.06%,6250,43.48219317,77.16049383
56,3.00E-06,83,0.06%,6250,41.94687177,75.30120482
56,3.10E-06,83,0.06%,6250,41.70698342,75.30120482
56,3.20E-06,77,0.05%,6250,39.72390298,81.16883117
56,3.30E-06,76,0.05%,6250,39.51319741,82.23684211
56,3.40E-06,77,0.05%,6250,39.31782009,81.16883117
56,3.50E-06,83,0.05%,6197.042,38.2285679,74.66315663
56,3.60E-06,81,0.05%,6101.198,38.00706419,75.3234321
56,3.70E-06,66,0.05%,4970.289,34.62892078,75.30740909
56,3.80E-06,64,0.05%,4592.791,33.28615949,71.76235938
56,3.90E-06,64,0.05%,4518.707,33.05250415,70.60479688
56,4.00E-06,61,0.05%,4295.162,32.34479227,70.4124918
56,4.10E-06,61,0.05%,4049.737,31.521841,66.38913115
56,4.20E-06,60,0.05%,3702.038,30.41937551,61.70063333
56,4.30E-06,59,0.05%,3558.503,29.76282598,60.31361017
56,4.40E-06,56,0.05%,3452.484,29.3591054,61.6515
56,4.50E-06,56,0.05%,3310.734,28.80251596,59.12025
56,4.60E-06,53,0.05%,3169.529,28.2345778,59.80243396
56,4.70E-06,50,0.05%,3111.801,27.98155725,62.23602
56,4.80E-06,47,0.05%,2794.339,26.62999848,59.45402128
56,4.90E-06,47,0.05%,2663.678,26.00308482,56.674
58,1.00E-06,63,0.06%,6250,54.21864427,99.20634921
58,1.10E-06,65,0.06%,6250,53.25630342,96.15384615
58,1.20E-06,66,0.06%,6250,52.5422019,94.6969697
58,1.30E-06,67,0.06%,6250,51.99667221,93.28358209
58,1.40E-06,69,0.06%,6250,51.26732836,90.57971014
58,1.50E-06,70,0.06%,6250,50.33705693,89.28571429
58,1.60E-06,70,0.06%,6250,49.99120155,89.28571429
58,1.70E-06,73,0.06%,6250,49.24982664,85.61643836
58,1.80E-06,73,0.06%,6250,48.79838848,85.61643836
58,1.90E-06,72,0.06%,6250,48.30133853,86.80555556
58,2.00E-06,75,0.06%,6250,47.7799523,83.33333333
58,2.10E-06,73,0.06%,6250,47.40378927,85.61643836
58,2.20E-06,74,0.06%,6250,47.15344107,84.45945946
58,2.30E-06,74,0.06%,6250,46.69440937,84.45945946
58,2.40E-06,74,0.06%,6250,46.4411238,84.45945946
58,2.50E-06,76,0.06%,6250,46.02322516,82.23684211
58,2.60E-06,76,0.06%,6250,45.08728899,82.23684211
58,2.70E-06,78,0.06%,6250,44.8353288,80.12820513
58,2.80E-06,80,0.06%,6250,43.94754421,78.125
58,2.90E-06,80,0.06%,6250,43.75126879,78.125
58,3.00E-06,81,0.06%,6250,43.37085201,77.16049383
58,3.10E-06,82,0.06%,6250,41.86819223,76.2195122
58,3.20E-06,83,0.06%,6250,41.65805733,75.30120482
58,3.30E-06,77,0.05%,6250,39.74183703,81.16883117
58,3.40E-06,78,0.05%,6250,39.44760727,80.12820513
58,3.50E-06,79,0.05%,6250,39.16408184,79.11392405
58,3.60E-06,84,0.05%,6201.348,38.25017579,73.82557143
58,3.70E-06,82,0.05%,6101.125,38.01655596,74.40396341
58,3.80E-06,66,0.05%,4975.273,34.66920081,75.38292424
58,3.90E-06,64,0.05%,4593.675,33.30246198,71.77617188
58,4.00E-06,64,0.05%,4519.72,33.07321928,70.620625
58,4.10E-06,62,0.05%,4293.581,32.35213316,69.25130645
58,4.20E-06,61,0.05%,4038.523,31.50296813,66.20529508
58,4.30E-06,61,0.05%,3687.529,30.38804925,60.45129508
58,4.40E-06,57,0.05%,3495.341,29.55565984,61.32177193
58,4.50E-06,57,0.05%,3454.237,29.38175802,60.60064912
58,4.60E-06,57,0.05%,3268.713,28.64879575,57.34584211
58,4.70E-06,50,0.05%,3128.948,28.09633188,62.57896
58,4.80E-06,47,0.05%,2820.23,26.80393853,60.00489362
58,4.90E-06,47,0.05%,2803.134,26.70032862,59.64114894
60,1.00E-06,64,0.06%,6250,54.63573264,97.65625
60,1.10E-06,63,0.05%,6250,53.70153973,99.20634921
60,1.20E-06,65,0.06%,6250,52.8626164,96.15384615
60,1.30E-06,67,0.06%,6250,52.27151077,93.28358209
60,1.40E-06,69,0.06%,6250,51.462778,90.57971014
60,1.50E-06,70,0.06%,6250,50.96881524,89.28571429
60,1.60E-06,70,0.06%,6250,50.15729327,89.28571429
60,1.70E-06,71,0.06%,6250,49.72274597,88.02816901
60,1.80E-06,74,0.06%,6250,49.05924001,84.45945946
60,1.90E-06,72,0.06%,6250,48.62450986,86.80555556
60,2.00E-06,74,0.06%,6250,48.12245432,84.45945946
60,2.10E-06,74,0.06%,6250,47.57844734,84.45945946
60,2.20E-06,74,0.06%,6250,47.29545661,84.45945946
60,2.30E-06,74,0.06%,6250,46.87898471,84.45945946
60,2.40E-06,75,0.06%,6250,46.5885966,83.33333333
60,2.50E-06,75,0.06%,6250,46.32786788,83.33333333
60,2.60E-06,76,0.06%,6250,45.96027561,82.23684211
60,2.70E-06,77,0.06%,6250,44.97600081,81.16883117
60,2.80E-06,78,0.06%,6250,44.70768328,80.12820513
60,2.90E-06,80,0.06%,6250,43.89630639,78.125
60,3.00E-06,79,0.06%,6250,43.70965599,79.11392405
60,3.10E-06,84,0.06%,6250,42.74790364,74.4047619
60,3.20E-06,82,0.06%,6250,41.82896304,76.2195122
60,3.30E-06,86,0.06%,6250,41.54121221,72.6744186
60,3.40E-06,78,0.05%,6250,39.6452857,80.12820513
60,3.50E-06,78,0.05%,6250,39.38893581,80.12820513
60,3.60E-06,84,0.05%,6250,39.07104679,74.4047619
60,3.70E-06,84,0.05%,6163.665,38.18094813,73.37696429
60,3.80E-06,82,0.05%,5854.588,37.54264645,71.39741463
60,3.90E-06,65,0.05%,4646.747,33.50504009,71.48841538
60,4.00E-06,64,0.05%,4574.508,33.27471504,71.4766875
60,4.10E-06,63,0.05%,4395.607,32.74561031,69.77153968
60,4.20E-06,62,0.05%,4216.772,32.14909693,68.01245161
60,4.30E-06,62,0.05%,4039.651,31.5176678,65.15566129
60,4.40E-06,62,0.05%,3693.536,30.43905655,59.57316129
60,4.50E-06,58,0.05%,3503.058,29.61139804,60.39755172
60,4.60E-06,57,0.05%,3325.102,28.90613835,58.33512281
60,4.70E-06,57,0.05%,3233.71,28.54667279,56.73175439
60,4.80E-06,51,0.05%,3133.674,28.1418013,61.44458824
60,4.90E-06,47,0.05%,2825.115,26.85649235,60.10882979
62,1.00E-06,65,0.06%,6250,55.17107447,96.15384615
62,1.10E-06,63,0.05%,6250,54.05078179,99.20634921
62,1.20E-06,65,0.06%,6250,53.14399898,96.15384615
62,1.30E-06,67,0.06%,6250,52.42848754,93.28358209
62,1.40E-06,68,0.06%,6250,51.71144188,91.91176471
62,1.50E-06,69,0.06%,6250,51.27195465,90.57971014
62,1.60E-06,70,0.06%,6250,50.31314904,89.28571429
62,1.70E-06,72,0.06%,6250,49.94486087,86.80555556
62,1.80E-06,74,0.06%,6250,49.27467676,84.45945946
62,1.90E-06,74,0.06%,6250,48.93440441,84.45945946
62,2.00E-06,72,0.06%,6250,48.36263464,86.80555556
62,2.10E-06,74,0.06%,6250,47.94562582,84.45945946
62,2.20E-06,73,0.06%,6250,47.48518462,85.61643836
62,2.30E-06,74,0.06%,6250,47.1886868,84.45945946
62,2.40E-06,74,0.06%,6250,46.72093771,84.45945946
62,2.50E-06,75,0.06%,6250,46.52478468,83.33333333
62,2.60E-06,75,0.06%,6250,46.2716181,83.33333333
62,2.70E-06,76,0.06%,6250,45.12048976,82.23684211
62,2.80E-06,78,0.06%,6250,44.87331366,80.12820513
62,2.90E-06,80,0.06%,6250,44.59221313,78.125
62,3.00E-06,80,0.06%,6250,43.79296089,78.125
62,3.10E-06,81,0.06%,6250,43.60505679,77.16049383
62,3.20E-06,83,0.06%,6250,42.0043819,75.30120482
62,3.30E-06,83,0.06%,6250,41.71784055,75.30120482
62,3.40E-06,77,0.05%,6250,39.81474993,81.16883117
62,3.50E-06,78,0.05%,6250,39.65257996,80.12820513
62,3.60E-06,78,0.05%,6250,39.4050779,80.12820513
62,3.70E-06,85,0.05%,6250,38.54955005,73.52941176
62,3.80E-06,84,0.05%,6118.873,38.09486247,72.84372619
62,3.90E-06,82,0.05%,5832.637,37.49541644,71.12971951
62,4.00E-06,66,0.05%,4619.575,33.4347203,69.99356061
62,4.10E-06,65,0.05%,4539.035,33.17571518,69.83130769
62,4.20E-06,63,0.05%,4360.526,32.65871268,69.21469841
62,4.30E-06,62,0.05%,4103.263,31.79222097,66.18166129
62,4.40E-06,62,0.05%,3726.584,30.58663624,60.10619355
62,4.50E-06,60,0.05%,3650.484,30.31686474,60.8414
62,4.60E-06,59,0.05%,3493.532,29.60344375,59.21240678
62,4.70E-06,57,0.05%,3328.159,28.9488201,58.38875439
62,4.80E-06,54,0.05%,3190.246,28.38802278,59.07862963
62,4.90E-06,48,0.05%,2836.867,26.93441253,59.10139583
64,1.00E-06,64,0.06%,6250,55.52890168,97.65625
64,1.10E-06,64,0.06%,6250,54.38045436,97.65625
64,1.20E-06,65,0.06%,6250,53.57770482,96.15384615
64,1.30E-06,65,0.06%,6250,52.71325675,96.15384615
64,1.40E-06,67,0.06%,6250,52.16984833,93.28358209
64,1.50E-06,69,0.06%,6250,51.37816798,90.57971014
64,1.60E-06,70,0.06%,6250,50.98087198,89.28571429
64,1.70E-06,70,0.06%,6250,50.17259372,89.28571429
64,1.80E-06,71,0.06%,6250,49.75362007,88.02816901
64,1.90E-06,75,0.06%,6250,49.08775319,83.33333333
64,2.00E-06,73,0.06%,6250,48.64721816,85.61643836
64,2.10E-06,74,0.06%,6250,48.15508248,84.45945946
64,2.20E-06,74,0.06%,6250,47.70446132,84.45945946
64,2.30E-06,74,0.06%,6250,47.31837316,84.45945946
64,2.40E-06,74,0.06%,6250,46.90783548,84.45945946
64,2.50E-06,74,0.06%,6250,46.65745959,84.45945946
64,2.60E-06,75,0.06%,6250,46.40354003,83.33333333
64,2.70E-06,76,0.06%,6250,46.06121351,82.23684211
64,2.80E-06,77,0.06%,6250,45.02784522,81.16883117
64,2.90E-06,78,0.06%,6250,44.86848151,80.12820513
64,3.00E-06,80,0.06%,6250,43.93271617,78.125
64,3.10E-06,80,0.06%,6250,43.78345056,78.125
64,3.20E-06,81,0.06%,6250,43.43505243,77.16049383
64,3.30E-06,82,0.06%,6250,41.87127764,76.2195122
64,3.40E-06,83,0.06%,6250,41.71449929,75.30120482
64,3.50E-06,78,0.05%,6250,39.74158432,80.12820513
64,3.60E-06,79,0.05%,6250,39.51569563,79.11392405
64,3.70E-06,79,0.05%,6250,39.29334842,79.11392405
64,3.80E-06,85,0.05%,6177.683,38.24977555,72.67862353
64,3.90E-06,83,0.05%,5869.433,37.61396145,70.71606024
64,4.00E-06,82,0.05%,5767.392,37.33858166,70.33404878
64,4.10E-06,66,0.05%,4593.178,33.36804405,69.59360606
64,4.20E-06,65,0.05%,4411.89,32.84586922,67.87523077
64,4.30E-06,64,0.05%,4282.103,32.45246684,66.90785938
64,4.40E-06,62,0.05%,4106.157,31.82524686,66.22833871
64,4.50E-06,62,0.05%,3713.991,30.56958837,59.90308065
64,4.60E-06,60,0.05%,3630.999,30.26185555,60.51665
64,4.70E-06,59,0.05%,3369.189,29.1603687,57.10489831
64,4.80E-06,59,0.05%,3255.233,28.69715429,55.17344068
64,4.90E-06,51,0.05%,3154.018,28.28588853,61.8434902
66,1.00E-06,63,0.06%,6250,56.00107522,99.20634921
66,1.10E-06,64,0.06%,6250,54.84476737,97.65625
66,1.20E-06,63,0.05%,6250,53.91788952,99.20634921
66,1.30E-06,65,0.06%,6250,52.99933857,96.15384615
66,1.40E-06,67,0.06%,6250,52.37839831,93.28358209
66,1.50E-06,68,0.06%,6250,51.69518863,91.91176471
66,1.60E-06,69,0.06%,6250,51.18084444,90.57971014
66,1.70E-06,70,0.06%,6250,50.32570798,89.28571429
66,1.80E-06,72,0.06%,6250,49.96003197,86.80555556
66,1.90E-06,74,0.06%,6250,49.21957443,84.45945946
